"Title","Access Date","Authors","DOI","Issue","Place Published","Publisher","Secondary Authors","Subsidiary Authors","Tertiary Authors","Type of Publication","Type of Work","Volume","Year of Publication","Pagination","Secondary Title","Nid"
"Introduced and cryptogenic marine and estuarine species of South Africa","","A. Mead; J.T. Carlton; C.L. Griffiths; M. Rius","","","","","A. Mead; J.T. Carlton; C.L. Griffiths; M. Rius","A. Mead; J.T. Carlton; C.L. Griffiths; M. Rius","A. Mead; J.T. Carlton; C.L. Griffiths; M. Rius","Journal Article","","45","2011","2463–2524","Journal of Natural History","874"
"Pycnogonida (Arthropoda) from Mersin Bay (Turkey, eastern Mediterranean)","","C. Kocak; N. Alan","","","","","C. Kocak; N. Alan","C. Kocak; N. Alan","C. Kocak; N. Alan","Journal Article","","37","2013","367–371","Turkish Journal of Zoology","873"
"Morphology of shallow-water sea spiders (Arthropoda: Pycnogonida) from the Colombian Caribbean","","M.F.Montoya Bravo; H.G. Müller; C.P. Arango; P. Tigreros; R.R. Melzer","","","","","M.F.Montoya Bravo; H.G. Müller; C.P. Arango; P. Tigreros; R.R. Melzer","M.F.Montoya Bravo; H.G. Müller; C.P. Arango; P. Tigreros; R.R. Melzer","M.F.Montoya Bravo; H.G. Müller; C.P. Arango; P. Tigreros; R.R. Melzer","Miscellaneous","","","2009","","","872"
"Ammothella appendiculata (Dohrn, 1881)","","R. Bamber; R.N. Bamber; El Nagar; C. Arango","","","","World Register of Marine Species ","R. Bamber; R.N. Bamber; El Nagar; C. Arango","R. Bamber; R.N. Bamber; El Nagar; C. Arango","R. Bamber; R.N. Bamber; El Nagar; C. Arango","Database","","","2015","","","871"
"Polygynandry and sexual size dimorphism in the sea spider Ammothea hilgendorfi (Pycnogonida: Ammotheidae), a marine arthropod with brood-carrying males","","F.S. Barreto; J.C. Avise","","","","","F.S. Barreto; J.C. Avise","F.S. Barreto; J.C. Avise","F.S. Barreto; J.C. Avise","Journal Article","","17","2008","4164–4175","Molecular ecology","869"
"Phylogeny of the sea spiders (Arthropoda, Pycnogonida) based on direct optimization of six loci and morphology","","C.P. Arango; W.C. Wheeler","","","","","C.P. Arango; W.C. Wheeler","C.P. Arango; W.C. Wheeler","C.P. Arango; W.C. Wheeler","Journal Article","","23","2007","255–293","Cladistics","868"
"Distribution, seasonal abundance and bycatch of basking sharks (Cetorhinus maximus) in New Zealand, with observations on their winter habitat","","M. Francis; C. Duffy","","","","","M. Francis; C. Duffy","M. Francis; C. Duffy","M. Francis; C. Duffy","Journal Article","","140","2002","831–842","Marine biology","862"
"Basking shark occurrence off south-west England in relation to zooplankton abundance","","D.W. Sims; A.M. Fox; D.A. Merrett","","","","","D.W. Sims; A.M. Fox; D.A. Merrett","D.W. Sims; A.M. Fox; D.A. Merrett","D.W. Sims; A.M. Fox; D.A. Merrett","Journal Article","","51","1997","436–440","Journal of fish biology","861"
"The basking shark, Cetorhinus maximus, in winter","","H.W. Parker; M. Boeseman","","","","Wiley Online Library","H.W. Parker; M. Boeseman","H.W. Parker; M. Boeseman","H.W. Parker; M. Boeseman","Conference Paper","","","1954","","Proceedings of the Zoological Society of London","860"
"Feeding ecology of the basking shark (Cetorhinus maximus) relative to distribution and abundances of prey","","C.L. Baduini","","","","","C.L. Baduini","C.L. Baduini","C.L. Baduini","Journal Article","","","1995","","","859"
"Distribution and apparent abundance of the basking shark, Cetorhinus maximus, off the central and southern California coast, 1962-85","","J.L.Squire Jr","","","","","J.L.Squire Jr","J.L.Squire Jr","J.L.Squire Jr","Journal Article","","52","1990","8–11","Marine fisheries review","858"
"Two records of patchy occurrences of the oceanic shrimpSergestes similis Hansen off the east coast of Honshu, Japan","","M. Mutoh; M. Omori","","","","","M. Mutoh; M. Omori","M. Mutoh; M. Omori","M. Mutoh; M. Omori","Journal Article","","34","1978","36–38","Journal of the Oceanographical Society of Japan","857"
"The basking shark","","P.A. Kunzlik","","","","Department of Agriculture and Fisheries for Scotland","P.A. Kunzlik","P.A. Kunzlik","P.A. Kunzlik","Book","","","1988","","","856"
"Seasonal movements and behaviour of basking sharks from archival tagging: no evidence of winter hibernation","","D.W. Sims; E.J. Southall; A.J. Richardson; P.C. Reid; J.D. Metcalfe","","","","","D.W. Sims; E.J. Southall; A.J. Richardson; P.C. Reid; J.D. Metcalfe","D.W. Sims; E.J. Southall; A.J. Richardson; P.C. Reid; J.D. Metcalfe","D.W. Sims; E.J. Southall; A.J. Richardson; P.C. Reid; J.D. Metcalfe","Journal Article","","248","2003","187–196","Marine ecology progress series","855"
"Cetorhinus maximus","","C. Knickle; L. Billingsley; K. DiVittorio","","","","Florida Museum of Natural History","C. Knickle; L. Billingsley; K. DiVittorio","C. Knickle; L. Billingsley; K. DiVittorio","C. Knickle; L. Billingsley; K. DiVittorio","Web Article","","","2016","","","854"
"An Illustrated Compendium of Sharks, Skates, Rays and Chimaera","","T. Shark","","","Northeast Atlantic","The British Isles","T. Shark","T. Shark","T. Shark","Book Chapter","","2","2010","","An Illustrated Compendium of Sharks, Skates, Rays and Chimaera","853"
"Cetorhinus maximus Gunnerus, 1765","","S.L. Folwer","http://dx.doi.org/10.2305/IUCN.UK.2005.RLTS.T4292A10763893.en","","","","S.L. Folwer","S.L. Folwer","S.L. Folwer","Journal Article","","","2005","","The IUCN Red List of Threatened Species 2005","852"
"Cetorhinus maximus (Gunnerus, 1765)","","N. Bailly; R. Froese; D. Pauly","","","","World Register of Marine Species ","N. Bailly; R. Froese; D. Pauly","N. Bailly; R. Froese; D. Pauly","N. Bailly; R. Froese; D. Pauly","Web Article","","2015","2015","","FishBase","851"
"Preliminary studies on the age and growth of the white shark, Carcharodon carcharias, using vertebral bands.","","G.M. Cailliet; L.J. Natanson; B.A. Welden","","","","","G.M. Cailliet; L.J. Natanson; B.A. Welden","G.M. Cailliet; L.J. Natanson; B.A. Welden","G.M. Cailliet; L.J. Natanson; B.A. Welden","Journal Article","","","1985","","","843"
"Reproduction in the male white shark. In ‘Great White Sharks: the Biology of Carcharodon carcharias’.(Eds AP Klimley, and DG Ainley.) pp. 131–138","","H.L. Pratt","","","","","H.L. Pratt","H.L. Pratt","H.L. Pratt","Miscellaneous","","","1996","","","842"
"Checklist of the fishes of the Hawaiian Archipelago","","B.Carl Mundy","","","","Bishop Museum Press","B.Carl Mundy","B.Carl Mundy","B.Carl Mundy","Book","","6","2005","","","841"
"Sharks of the world an annotated and illustrated catalogue of shark species know to date v. 2: Bulhead, mackerel and carpet sharks (heterodontiformes, Lamniformes and Orectolobiformes).","","L.J.V. Compagno","","","","","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Miscellaneous","","","2001","","","840"
"FAO species catalogue. v. 4:(2) Sharks of the world. An annotated and illustrated catalogue of shark species known to date, pt. 2: Carcharhiniformes","","L.J.V. Compagno","","","","","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Journal Article","","","1984","","","839"
"Carcharodon carcharias Linnaeus, 1758","","I. Fergusson; L.J.V. Compagno; M. Marks","The IUCN Red List of Threatened Species 2009: e.T3855A10133872","","","","I. Fergusson; L.J.V. Compagno; M. Marks","I. Fergusson; L.J.V. Compagno; M. Marks","I. Fergusson; L.J.V. Compagno; M. Marks","Journal Article","","2015","2009","","The IUCN Red List of Threatened Species 2009: e.T3855A10133872","838"
"Carcharodon carcharias (Linnaeus, 1758)","","N. Bailly; R. Froese; D. Pauly","","","","World Register of Marine Species ","N. Bailly; R. Froese; D. Pauly","N. Bailly; R. Froese; D. Pauly","N. Bailly; R. Froese; D. Pauly","Web Article","internet","","2015","","","837"
"Age, Growth and Reproduction of the Oceanic Whitetip Shark from the Pacific Ocean.","","T. Seki; T. Taniuchi; H. Nakano; M. Shimizu","","","","","T. Seki; T. Taniuchi; H. Nakano; M. Shimizu","T. Seki; T. Taniuchi; H. Nakano; M. Shimizu","T. Seki; T. Taniuchi; H. Nakano; M. Shimizu","Journal Article","","64","1998","14–20","Fisheries Science","831"
"Micronesian reef fishes: A practical guide to the identification of the coral reef fishes of the Tropical Central and Western Pacific","","R.F. Myers","","","","","R.F. Myers","R.F. Myers","R.F. Myers","Journal Article","","","1991","","","830"
"Sharks and Rays of Australia","","P.R. Last; J.D. Stevens","","","","","P.R. Last; J.D. Stevens","P.R. Last; J.D. Stevens","P.R. Last; J.D. Stevens","Journal Article","","","2009","","","829"
"The reproduction of some species of pelagic sharks from the equatorial zone of the Indian Ocean","","Y.P. Gubanov","","","","","Y.P. Gubanov","Y.P. Gubanov","Y.P. Gubanov","Journal Article","","18","1978","781–792","J. Ichthyol","828"
"Requins de la côte ouest de Madagascar","","P. Fourmanoir","","","","","P. Fourmanoir","P. Fourmanoir","P. Fourmanoir","Journal Article","","4","1961","3–81","Mémoires de l'Institut Scientifique de Madagascar. Série F: Océanographie","827"
"Sharks, rays, and chimaeras of California","","D.A. Ebert","","","","University of California Press","D.A. Ebert","D.A. Ebert","D.A. Ebert","Book","","","2003","","","826"
"Guide to the sharks and rays of southern Africa","","L.J.V. Compagno; D.A. Ebert; M.J. Smale","","","","","L.J.V. Compagno; D.A. Ebert; M.J. Smale","L.J.V. Compagno; D.A. Ebert; M.J. Smale","L.J.V. Compagno; D.A. Ebert; M.J. Smale","Journal Article","","","1989","","","825"
"b. Sharks of the World. An annotated and illustrated catalogue of the shark species known to date. Volume 3. (Carcharhiniformes). ","","L.J.V. Compagno","","","Rome","FAO","L.J.V. Compagno","L.J.V. Compagno","L.J.V. Compagno","Unpublished","","","0","","Vol. 3","824"
"Carcharhinidae. Requiem sharks","","L.J.V. Compagno; V.H. Niem","","","","","L.J.V. Compagno; V.H. Niem","L.J.V. Compagno; V.H. Niem","L.J.V. Compagno; V.H. Niem","Journal Article","","","1998","1312–1360","FAO Identification Guide for Fishery Purposes. The Living Marine Resources of the Western Central Pacific. FAO, Rome","823"
"Fishes of the western north Atlantic. Part 1. Lancelets, Cyclostomes, Sharks","","H.B. Bigelow; W.C. Shroeder","","","","","H.B. Bigelow; W.C. Shroeder","H.B. Bigelow; W.C. Shroeder","H.B. Bigelow; W.C. Shroeder","Book Chapter","","","1948","","Memoirs of Sears Foundation for Marine Research","822"
"Carcharhinus longimanus Poey, 1861","","J. Baum; E. Medina; J.A. Musick; M. Smale","http://dx.doi.org/10.2305/IUCN.UK.2015.RLTS.T39374A85699641.en","","","","J. Baum; E. Medina; J.A. Musick; M. Smale","J. Baum; E. Medina; J.A. Musick; M. Smale","J. Baum; E. Medina; J.A. Musick; M. Smale","Journal Article","","","2015","","The IUCN Red List of Threatened Species 2015: e.T39374A85699641","821"
"Sharks of the east coast of SA. V. The families hexanchidae, Chlamydoselachidae, Heterodontidae, Pristiophoridae {&} Squatintinidae","","A.J. Bass; J.D. D'Aubrey; N. Kistnasamy","","","","","A.J. Bass; J.D. D'Aubrey; N. Kistnasamy","A.J. Bass; J.D. D'Aubrey; N. Kistnasamy","A.J. Bass; J.D. D'Aubrey; N. Kistnasamy","Report","","","1975","","","820"
"Carcharhinus longimanus (Poey, 1861)","","N. Baily; R. Froese; D. Pauly","","","","World Register of Marine Species","N. Baily; R. Froese; D. Pauly","N. Baily; R. Froese; D. Pauly","N. Baily; R. Froese; D. Pauly","Web Article","","2015","2015","","FishBase","819"
"Stock assessment of the kingklip Genypterus capensis off South Africa","","A.E. Punt; D.W. Japp","","","","","A.E. Punt; D.W. Japp","A.E. Punt; D.W. Japp","A.E. Punt; D.W. Japp","Journal Article","","14","1994","133–149","South African Journal of Marine Science","816"
"FAO species catalogue. Ophidiform fishes of the world (Order Ophidiiformes). An annotated and illustrated catalogue of pearlfishes, cusk-eels, brotulas and other ophidiiform fishes known to date","","J.G. Nielsen; D.M. Cohen; D.F. Markle; C.R. Robins","","","","","J.G. Nielsen; D.M. Cohen; D.F. Markle; C.R. Robins","J.G. Nielsen; D.M. Cohen; D.F. Markle; C.R. Robins","J.G. Nielsen; D.M. Cohen; D.F. Markle; C.R. Robins","Journal Article","","125","1999","","FAO Fisheries Synopsis","815"
"A new study on age and growth of kingklip Genypterus capensis off the south and west coasts of South Africa, with comments on its use for stock identification","","D.W. Japp","","","","","D.W. Japp","D.W. Japp","D.W. Japp","Journal Article","","9","1990","223–237","South African journal of marine science","814"
"Modes of reproduction in fishes","","C.M.Breder Jr; D.E. Rosen","","","","","C.M.Breder Jr; D.E. Rosen","C.M.Breder Jr; D.E. Rosen","C.M.Breder Jr; D.E. Rosen","Journal Article","","","1966","","Nat. Hist. Press, Garden City, NY","813"
"Mitochondrial DNA analyses of the Cape hakes reveal an expanding, panmictic population for Merluccius capensis and population structuring for mature fish in Merluccius paradoxus","","S. von der Heyden; M.R. Lipinski; C.A. Matthee","","","","","S. von der Heyden; M.R. Lipinski; C.A. Matthee","S. von der Heyden; M.R. Lipinski; C.A. Matthee","S. von der Heyden; M.R. Lipinski; C.A. Matthee","Journal Article","","42","2007","517–527","Molecular Phylogenetics and Evolution","810"
"Species-specific genetic markers for identification of early life-history stages of Cape hakes, Merluccius capensis and Merluccius paradoxus in the southern Benguela Current","","S. Von der Heyden; M.R. Lipinski; C.A. Matthee","","","","","S. Von der Heyden; M.R. Lipinski; C.A. Matthee","S. Von der Heyden; M.R. Lipinski; C.A. Matthee","S. Von der Heyden; M.R. Lipinski; C.A. Matthee","Journal Article","","70","2007","262–268","Journal of Fish Biology","809"
"The diet of Cape hake Merluccius capensis on the south coast of South Africa","","S.C. Pillar; I.S. Wilkinson","","","","","S.C. Pillar; I.S. Wilkinson","S.C. Pillar; I.S. Wilkinson","S.C. Pillar; I.S. Wilkinson","Journal Article","","15","1995","225–239","South african journal of marine science","808"
"Biology and fisheries of South African Cape hakes (M. capensis and M. paradoxus)","","A.I.L. Payne; A.E. Punt","","","","Springer","A.I.L. Payne; A.E. Punt","A.I.L. Payne; A.E. Punt","A.I.L. Payne; A.E. Punt","Book Chapter","","","1995","15–47","Hake","807"
"Merluccius capensis Castelnau,1861","","T. Iwamoto","http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T15522216A15603600.en. ","","","The IUCN Red List of Threatened Species 2015","T. Iwamoto","T. Iwamoto","T. Iwamoto","Journal Article","Internet","","2015","","The IUCN Red List of Threatened Species 2015","806"
"Bycatch in the gillnet and beach-seine fisheries in the Western Cape, South Africa, with implications for management","","K. Hutchings; S.J. Lamberth","","","","","K. Hutchings; S.J. Lamberth","K. Hutchings; S.J. Lamberth","K. Hutchings; S.J. Lamberth","Journal Article","","24","2002","227–241","South African Journal of Marine Science","805"
"Gadiformes","","A.S. Harold; R.K. Johnson; K.E. Carpenter; N. DeAngelis","","","","","A.S. Harold; R.K. Johnson; K.E. Carpenter; N. DeAngelis","A.S. Harold; R.K. Johnson; K.E. Carpenter; N. DeAngelis","A.S. Harold; R.K. Johnson; K.E. Carpenter; N. DeAngelis","Journal Article","","","In Press","","FAO","804"
"Early life-history strategy of Cape hake in the Benguela upwelling region","","B. Grote; W. Ekau; W. Hagen; J.A. Huggett; H.M. Verheye","","","","","B. Grote; W. Ekau; W. Hagen; J.A. Huggett; H.M. Verheye","B. Grote; W. Ekau; W. Hagen; J.A. Huggett; H.M. Verheye","B. Grote; W. Ekau; W. Hagen; J.A. Huggett; H.M. Verheye","Journal Article","","86","2007","179–187","Fisheries Research","803"
"Characteristics of survivors: growth and nutritional condition of early stages of the hake species Merluccius paradoxus and M. capensis in the southern Benguela ecosystem","","B. Grote; W. Ekau; E.K. Stenevik; C. Clemmesen; H.M. Verheye; M.R. Lipinski; W. Hagen","","","","","B. Grote; W. Ekau; E.K. Stenevik; C. Clemmesen; H.M. Verheye; M.R. Lipinski; W. Hagen","B. Grote; W. Ekau; E.K. Stenevik; C. Clemmesen; H.M. Verheye; M.R. Lipinski; W. Hagen","B. Grote; W. Ekau; E.K. Stenevik; C. Clemmesen; H.M. Verheye; M.R. Lipinski; W. Hagen","Journal Article","","69","2012","553–562","ICES Journal of Marine Science: Journal du Conseil","802"
"Bycatch: complementary information for understanding fish behaviour. Namibian Cape hake (M. capensis and M. paradoxus) as a case study","","A. Gordoa; H. Lesch; S. Rodergas","","","","","A. Gordoa; H. Lesch; S. Rodergas","A. Gordoa; H. Lesch; S. Rodergas","A. Gordoa; H. Lesch; S. Rodergas","Journal Article","","63","2006","1513–1519","ICES Journal of Marine Science: Journal du Conseil","801"
"Reproduction, sex ratio and rate of natural mortality of Cape hakes Merluccius capensis Cast. and M. paradoxus Franca in the Cape of Good Hope area","","L. Botha","","","","","L. Botha","L. Botha","L. Botha","Journal Article","","4","1986","23–35","South African Journal of Marine Science","800"
"Field guide to the living marine resources of Namibia.","","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer;  ","","","","","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer;  ","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer;  ","G. Bianchi; K.E. Carpenter; J.P. Roux; F.J. Molloy; D. Boyer; H.J. Boyer;  ","Journal Article","","","1999","","Field guide to the living marine resources of Namibia","799"
"Comparison of ontogenetic trophic shift in two hake species, Merluccius capensis and Merluccius paradoxus, from the Northern Benguela Current ecosystem (Namibia) using stable isotope analysis","","J.A. Iitembu; T.W. Miller; K. Ohmori; A. Kanime; S. Wells","","","","","J.A. Iitembu; T.W. Miller; K. Ohmori; A. Kanime; S. Wells","J.A. Iitembu; T.W. Miller; K. Ohmori; A. Kanime; S. Wells","J.A. Iitembu; T.W. Miller; K. Ohmori; A. Kanime; S. Wells","Journal Article","","21","2012","215–225","Fisheries Oceanography","796"
"Remarkably low mtDNA control region diversity in an abundant demersal fish","","S. von der Heyden; M.R. Lipinski; C.A. Matthee","","","","","S. von der Heyden; M.R. Lipinski; C.A. Matthee","S. von der Heyden; M.R. Lipinski; C.A. Matthee","S. von der Heyden; M.R. Lipinski; C.A. Matthee","Journal Article","","55","2010","1183–1188","Molecular Phylogenetics and Evolution","795"
"Hake Population Genetics: Development of microsatellite markers and screening of microsatellite locus variation in Cape hakes, Merluccius paradoxus and M. capensis, from the Namibian and South African coasts","","P. Bloomer; S.M.R. Dos-Santos; C.J. Oosthuizen; T.B. Hoareau; A.W. Klopper","","","","","P. Bloomer; S.M.R. Dos-Santos; C.J. Oosthuizen; T.B. Hoareau; A.W. Klopper","P. Bloomer; S.M.R. Dos-Santos; C.J. Oosthuizen; T.B. Hoareau; A.W. Klopper","P. Bloomer; S.M.R. Dos-Santos; C.J. Oosthuizen; T.B. Hoareau; A.W. Klopper","Journal Article","","","2009","","BENEFIT report","794"
"FishBase (version Sep 2015)","","R. Froese; D. Pauly","","","Leiden, the Netherlands","Naturalis","R. Froese; D. Pauly","R. Froese; D. Pauly","R. Froese; D. Pauly","Web Article","","2016","2015","","Species 2000 & ITIS Catalogue of Life, 29th January 2016","793"
"Food and Agricultural Organization of the United Nations (FAO) species catalogue. Vol. 10. Gadiform fishes of the world (order Gadiformes): an annotated and illustrated catalogue of cods, hakes, grenadiers and other gadiform fishes known to date","","D.M. Cohen; T. Inada; T. Iwamoto; N. Scialabba","","","","","D.M. Cohen; T. Inada; T. Iwamoto; N. Scialabba","D.M. Cohen; T. Inada; T. Iwamoto; N. Scialabba","D.M. Cohen; T. Inada; T. Iwamoto; N. Scialabba","Journal Article","","","1990","","FAO Fish. Synop","792"
"Biology and fisheries of Namibian hakes (M. paradoxus and M. capensis)","","A. Gordoa; E. Macpherson; P. Olivar; W. Scharm","","","","Springer","A. Gordoa; E. Macpherson; P. Olivar; W. Scharm","A. Gordoa; E. Macpherson; P. Olivar; W. Scharm","A. Gordoa; E. Macpherson; P. Olivar; W. Scharm","Book Chapter","","","1995","49–88","Hake","791"
"Age, growth, and reproductive biology of the blackbelly rosefish from the Carolinas, USA","","D.B. White; D.M. Wyanski; G.R. Sedberry","","","","","D.B. White; D.M. Wyanski; G.R. Sedberry","D.B. White; D.M. Wyanski; G.R. Sedberry","D.B. White; D.M. Wyanski; G.R. Sedberry","Journal Article","","53","1998","1274–1291","Journal of fish biology","788"
"Smiths' sea fishes","","J.Leonard Br Smith; M.Mary Smith; P.C. Heemstra","","","","Struik","J.Leonard Br Smith; M.Mary Smith; P.C. Heemstra","J.Leonard Br Smith; M.Mary Smith; P.C. Heemstra","J.Leonard Br Smith; M.Mary Smith; P.C. Heemstra","Book","","","2003","","","787"
"New approach to the reproductive biology of Helicolenus dactylopterus","","V. Sequeira; I. Figueiredo; M. Muñoz; L.S. Gordo","","","","","V. Sequeira; I. Figueiredo; M. Muñoz; L.S. Gordo","V. Sequeira; I. Figueiredo; M. Muñoz; L.S. Gordo","V. Sequeira; I. Figueiredo; M. Muñoz; L.S. Gordo","Journal Article","","62","2003","1206–1210","Journal of Fish Biology","786"
"Helicolenus dactylopterus","","F. Nunoo; P. Bannermann; B. Russell; S. Poss","http://dx.doi.org/10.2305/IUCN.UK.2015-4.RLTS.T195093A15592445.en","","","","F. Nunoo; P. Bannermann; B. Russell; S. Poss","F. Nunoo; P. Bannermann; B. Russell; S. Poss","F. Nunoo; P. Bannermann; B. Russell; S. Poss","Journal Article","","","2015","","The IUCN Red List of Threatened Species 2015","785"
"Age and growth of blue-mouth, Helicolenus dactylopterus (Osteichthyes: Scorpaenidae), in the western Mediterranean","","E. Massutı́; B. Morales-Nin; J. Moranta","","","","","E. Massutı́; B. Morales-Nin; J. Moranta","E. Massutı́; B. Morales-Nin; J. Moranta","E. Massutı́; B. Morales-Nin; J. Moranta","Journal Article","","46","2000","165–176","Fisheries Research","784"
"Age estimation, growth, maturity, and distribution of the bluemouth rockfish Helicolenus d. dactylopterus (Delaroche 1809) from the Rockall Trough","","C.J. Kelly; P.L. Connolly; J.J. Bracken","","","","","C.J. Kelly; P.L. Connolly; J.J. Bracken","C.J. Kelly; P.L. Connolly; J.J. Bracken","C.J. Kelly; P.L. Connolly; J.J. Bracken","Journal Article","","56","1999","61–74","ICES Journal of Marine Science: Journal du Conseil","783"
"Coastal fishes of southern Africa","","P.C. Heemstra; E. Heemstra","","","","NISC (PTY) LTD","P.C. Heemstra; E. Heemstra","P.C. Heemstra; E. Heemstra","P.C. Heemstra; E. Heemstra","Book","","","2004","","","782"
"Scorpaenidae. Pagas 463-478 in MM Smith and PC Heemstra, eds. Smith's sea fishes","","W.N. Eschmeyer","","","","","W.N. Eschmeyer","W.N. Eschmeyer","W.N. Eschmeyer","Miscellaneous","","","1986","","","781"
"Sesquiterpene hydroquinones from the South African soft coral Alcyonium fauri","","G.J. Hooper; M.T. Davies-Coleman","10.1016/0040-4039(95)00461-K","","","","G.J. Hooper; M.T. Davies-Coleman","G.J. Hooper; M.T. Davies-Coleman","G.J. Hooper; M.T. Davies-Coleman","Journal Article","","36","1995","3265–3268","Tetrahedron Letters","778"
"Ten years of marine natural products research at Rhodes University","","M.T. Davies-Coleman; D.R. Beukes","10.1002/chin.200537245","","","","M.T. Davies-Coleman; D.R. Beukes","M.T. Davies-Coleman; D.R. Beukes","M.T. Davies-Coleman; D.R. Beukes","Journal Article","","100","2004","539–544","South African Journal of Science","777"
"Conservation genetics of the critically endangered narrow sawfish (Anoxypristis cuspidata) in northern Australia","","B.R. D'Anastasi","","","","James Cook University.","B.R. D'Anastasi","B.R. D'Anastasi","B.R. D'Anastasi","Book","","","2010","","","776"
"Distribution of sawfishes ( Pristidae ) in the Queensland Gulf of Carpentaria , Australia , with notes on sawfish ecology","","S.Charles Peverell","10.1007/s-10641-005-1599-8","","","","S.Charles Peverell","S.Charles Peverell","S.Charles Peverell","Journal Article","","73","2005","391–402","Environmental Biology of Fishes","775"
"Shark references 2015 Anoxypristis cuspidata (LATHAM, 1794)","","","","","","","","","","Web Article","","","2015","","","774"
"Narrow Sawfish (Anoxypristis cuspidata):: NOAA Fisheries","","N.O.A.A. Fisheries","","","","","N.O.A.A. Fisheries","N.O.A.A. Fisheries","N.O.A.A. Fisheries","Journal Article","","","2014","","","773"
"Checklist of Philippine chondrichthyes","","L.Joseph Vic Compagno; P.R. Last; J.D. Stevens; M.N.R. Alava","","","","CSIRO Marine Laboratories","L.Joseph Vic Compagno; P.R. Last; J.D. Stevens; M.N.R. Alava","L.Joseph Vic Compagno; P.R. Last; J.D. Stevens; M.N.R. Alava","L.Joseph Vic Compagno; P.R. Last; J.D. Stevens; M.N.R. Alava","Book","","","2005","","","772"
"Pristidae. Sawfishes","","L.J.V. Compagno; P.R. Last; K.E. Carpenter; V. Niem","","","","","L.J.V. Compagno; P.R. Last; K.E. Carpenter; V. Niem","L.J.V. Compagno; P.R. Last; K.E. Carpenter; V. Niem","L.J.V. Compagno; P.R. Last; K.E. Carpenter; V. Niem","Journal Article","","","1999","1410–1417","FAO Identification Guide for Fishery Purposes. The Living Marine Resources of the Western Central Pacific. FAO, Rome","771"
"Anoxypristis cuspidata , Narrow Sawfish","","B. D'Anastasi; C. Simpfendorfer; L. van Herwerden","","","","","B. D'Anastasi; C. Simpfendorfer; L. van Herwerden","B. D'Anastasi; C. Simpfendorfer; L. van Herwerden","B. D'Anastasi; C. Simpfendorfer; L. van Herwerden","Miscellaneous","","","2013","","","770"
"Anoxypristis cuspidata (Latham, 1794)","","N. Bailly","","","","World Register of Marine Species","N. Bailly","N. Bailly","N. Bailly","Web Article","","","2015","","","769"
"Extrait d’un mémoire sur la classification des Polypiers coralligènes non entièrement pierreux","","J.V.F. Lamouroux","","","","","J.V.F. Lamouroux","J.V.F. Lamouroux","J.V.F. Lamouroux","Journal Article","","3","1812","181–188","Nouveau Bulletin des Sciences, par la Société Philomatique de Paris","760"
"The typification of Melobesia membranacea (Esper) Lamouroux (Rhodophyta, Corallinaceae)","","Y.M. Chamberlain","","","","","Y.M. Chamberlain","Y.M. Chamberlain","Y.M. Chamberlain","Journal Article","","34","1985","673–677","Taxon","759"
"Synarthrophyton papillatum sp. nov.: A new species of non-geniculate coralline algae (Rhodophyta, Corallinales, Hapalidiaceae) from South Africa and Namibia","","G.W. Maneveldt; D.W. Keats; Y.M. Chamberlain","","","","","G.W. Maneveldt; D.W. Keats; Y.M. Chamberlain","G.W. Maneveldt; D.W. Keats; Y.M. Chamberlain","G.W. Maneveldt; D.W. Keats; Y.M. Chamberlain","Journal Article","","73","2007","570–582","South African Journal of Botany","741"
"Two new melobesioid algae (Corallinales, Rhodophyta), Synarthrophyton robbenense sp. nov. and S. munimentum sp. nov., in South Africa and Namibia","","D.W. Keats; G. Maneveldt","","","","","D.W. Keats; G. Maneveldt","D.W. Keats; G. Maneveldt","D.W. Keats; G. Maneveldt","Journal Article","","36","1997","447–467","Phycologia","740"
"The non-geniculate coralline algae Synarthrophyton eckloniae (Foslie) comb. nov. and S. magellanicum (Foslie) comb. nov.(Rhodophyta) in South Africa including comparison with relevant types","","D.W. Keats; Y.M. Chamberlain","","","","","D.W. Keats; Y.M. Chamberlain","D.W. Keats; Y.M. Chamberlain","D.W. Keats; Y.M. Chamberlain","Journal Article","","32","1997","55–79","European Journal of Phycology","739"
"Lithothamnion superpositum Foslie: a common crustose red alga (Corallinaceae) in South Africa","","D.W. Keats; G. Maneveldt; Y.M. Chamberlain","","","","","D.W. Keats; G. Maneveldt; Y.M. Chamberlain","D.W. Keats; G. Maneveldt; Y.M. Chamberlain","D.W. Keats; G. Maneveldt; Y.M. Chamberlain","Journal Article","","21","2000","381–400","Cryptogamie Algologie","735"
"Beiträge zur Kenntnis der Adriatischen Algen. X.","","H. F.","","","","","H. F.","H. F.","H. F.","Journal Article","","28","1878","288-295","Österreichische Botanische Zeitschrift ","734"
